[2026-05-13 15:25:34] INFO  swap=84% compressor=9405MB threshold_swap=0% threshold_comp=5000MB dry_run=1
[2026-05-13 15:56:37] SKIP  PID 60130 有活跃父进程 59491，跳过
[2026-05-13 15:56:37] SKIP  PID 60131 有活跃父进程 59491，跳过
[2026-05-13 15:56:37] SKIP  PID 63934 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 63936 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 63939 有活跃父进程 63936，跳过
[2026-05-13 15:56:37] SKIP  PID 63973 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 64089 有活跃父进程 63993，跳过
[2026-05-13 15:56:37] SKIP  PID 64127 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 64149 有活跃父进程 64094，跳过
[2026-05-13 15:56:37] SKIP  PID 64169 有活跃父进程 64095，跳过
[2026-05-13 15:56:37] SKIP  PID 64173 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 64193 有活跃父进程 64127，跳过
[2026-05-13 15:56:37] SKIP  PID 64227 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 64267 有活跃父进程 63875，跳过
[2026-05-13 15:56:37] SKIP  PID 60788 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 60789 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 60791 有活跃父进程 60789，跳过
[2026-05-13 15:56:37] SKIP  PID 60822 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 60854 有活跃父进程 60828，跳过
[2026-05-13 15:56:37] SKIP  PID 60936 有活跃父进程 60848，跳过
[2026-05-13 15:56:37] SKIP  PID 61015 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 61035 有活跃父进程 60977，跳过
[2026-05-13 15:56:37] SKIP  PID 61036 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 61056 有活跃父进程 61004，跳过
[2026-05-13 15:56:37] SKIP  PID 61076 有活跃父进程 61015，跳过
[2026-05-13 15:56:37] SKIP  PID 61104 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 61129 有活跃父进程 60745，跳过
[2026-05-13 15:56:37] SKIP  PID 61149 有活跃父进程 61102，跳过
[2026-05-13 15:56:38] INFO  完成: swap=83% compressor=4947MB
[2026-05-13 16:11:38] INFO  swap=83% compressor=4927MB threshold_swap=60% threshold_comp=5000MB dry_run=0
[2026-05-13 16:11:38] WARN  触发阈值: swap=83% comp=4927MB — 开始清理
[2026-05-13 16:11:38] SKIP  Genspark 未运行
[2026-05-13 16:11:40] INFO  退出 Genspark 后: swap=83% compressor=4927MB
